naslov,leto_izdaje,avtor,ocena,stevilo_ocen
The Sun is Also a Star,2016,Nicola Yoon,3.81,31
Million Kisses in Your Lifetime,2022,Monica Murphy,3.73,15
David Kibbe&#39;s metamorphosis,1987,David Kibbe,4.43,7
Interview With the Vampire,1976,Anne Rice,3.93,74
On Writing,1999,Stephen King,4.15,66
The intelligent investor: a book of practical counsel,1949,Benjamin Graham,3.96,24
Into the Wild,2003,Erin Hunter,4.45,73
Don&#39;t Let the Pigeon Drive the Bus!,2003,Mo Willems,4.32,81
Black Ties and White Lies,2023,Kat Singleton,3.29,14
Picasso,1926,Pablo Picasso,3.86,21
King of Pride,2023,Ana Huang,4.27,11
American Gods,2001,Neil Gaiman,4.27,49
The Hating Game,2016,Sally Thorne,3.61,18
Emma,1815,Jane Austen,3.95,41
"When You&#39;re Ready, This Is How You Heal",2022,Brianna Wiest,4.36,14
End of days: predictions and prophecies about the end of the world,2008,Sylvia Browne,4.37,35
Chemistry: The Central Science,1977,Theodore L. Brown,4.24,29
The Intelligent Investor,1965,Benjamin Graham,3.67,15
The Bachman Books (Long Walk / Rage / Roadwork / Running Man),1985,Stephen King,3.80,141
Michelle Obama in Her Own Words,2008,Michelle Obama,4.60,20
Mark Z. Danielewski&#39;s House of leaves,1998,Mark Z. Danielewski,4.27,48
Rebecca,1938,Daphne du Maurier,4.15,39
The Scarlet Letter,1850,Nathaniel Hawthorne,3.24,88
Corrupted Chaos,2022,Shain Rose,3.57,14
A Midsummer Night&#39;s Dream,1600,William Shakespeare,3.65,72
The Deal,2015,Elle Kennedy,4.43,21
Alice&#39;s Adventures in Wonderland / Through the Looking Glass,1889,Lewis Carroll,4.03,92
Does It Hurt?,2022,H. D. Carlton,4.40,10
Red Queen,2015,Victoria Aveyard,3.93,27
Restore me,2018,Tahereh Mafi,4.14,21
Clean Code: A Handbook of Agile Software Craftsmanship,2008,Robert C. Martin,4.43,35
Under the Dome,1925,Stephen King,3.84,50
The Elite (The Selection #2),2012,Kiera Cass,4.09,32
Sense and Sensibility,1811,Jane Austen,3.67,30
Im Westen nichts Neues,1928,Erich Maria Remarque,4.18,74
One of us is lying,2017,Karen M. McManus,4.24,33
The Godfather,1969,Mario Puzo,4.38,34
Sula,1973,Toni Morrison,3.79,38
If we were villains,2017,M. L. Rio,4.07,14
Go Ask Alice,1971,Beatrice Sparks,3.73,45
The Bad Beginning,1999,Lemony Snicket,4.07,73
Dog Man: A Tale of Two Kitties,1999,Dav Pilkey,4.56,84
The Last Straw,1999,Jeff Kinney,4.09,53
The Magician&#39;s Nephew,1955,C.S. Lewis,4.07,89
Never Split the Difference: Negotiating As If Your Life Depended On It,2016,Chris Voss,4.31,39
Why Has Nobody Told Me This Before?,2022,Julie Smith,3.62,13
BICARA ITU ADA SENINYA,2018,Oh Su Hyang,4.24,42
Daisy Jones &amp; The Six: A Novel,2019,Taylor Jenkins Reid,3.85,34
Fight Club,1996,Chuck Palahniuk,4.01,109
The Call of the Wild,1903,Jack London,3.85,62
Aristotle and Dante discover the secrets of the universe,2000,Benjamin Alire Sáenz,4.37,46
Abraham Lincoln,1926,Carl Sandburg,4.18,22
The encyclopedia Americana 1958- Antartic,1958,Americana Corporation,5.00,11
Shoe Dog: A Memoir by the Creator of Nike,2016,Phil Knight,4.60,42
The Wicked King,2019,Holly Black,4.25,16
The Chronicles of Narnia: The Complete Set,1970,C.S. Lewis,4.21,66
Tender is the Flesh,2017,Agustina Bazterrica,3.27,11
Fierce King,2021,Sadie Kincaid,3.73,15
El amor en los tiempos del cólera,1985,Gabriel García Márquez,4.09,47
Les Misérables,1800,Victor Hugo,4.38,40
The Way of Kings,2010,Brandon Sanderson,4.59,125
Psicología oscura,2019,Steven Turner,4.00,28
Cujo,1981,Stephen King,3.82,40
Americanah,1969,Chimamanda Ngozi Adichie,3.84,38
"Frotiers Peace Treaties, and International Organization",1914,Vincent van Gogh,4.28,18
Autobiografía Malcolm X,1965,Alex Haley,4.14,22
Crooked Kingdom,2016,Leigh Bardugo,4.46,26
Never Let Me Go,2005,Kazuo Ishiguro,3.64,55
All About Love,2000,Bell Hooks,4.00,33
8 Rules of Love,2023,Jay Shetty,3.62,26
Keeper of the Lost Cities (Keeper of the Lost Cities #1),2012,Shannon Messenger,4.67,48
Death on the Nile,1937,Agatha Christie,4.16,19
Simon vs. the Homo Sapiens Agenda,2015,Becky Albertalli,4.32,40
Gone With the Wind,1936,Margaret Mitchell,3.48,40
The Pillars of the Earth,1800,Ken Follett,4.15,55
Nick and Charlie: A Solitaire Novella,2015,Alice Oseman,4.62,16
"The Complete Sherlock Holmes [4 novels, 56 stories]",1900,Arthur Conan Doyle,4.49,43
Goodnight Moon,1947,Margaret Wise Brown,4.15,59
Dork Diaries Collection,2020,Rachel Renée Russell,4.24,25
The Bluest Eye,1970,Toni Morrison,4.25,24
Paper towns,2008,John Green,3.89,64
Caraval,2000,Stephanie Garber,3.70,23
Ἰλιάς,1505,Όμηρος (Homer),3.96,69
Elvis and me,1985,Priscilla Beaulieu Presley,4.88,16
Microbiology: an introduction,1982,Gerard J. Tortora,4.47,17
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,2020,MTG Editorial Board,3.97,31
King of Greed,2023,Ana Huang,3.88,8
Dark Psychology,2017,Modern Psychology Publishing,4.40,10
The Martian Chronicles,1950,Ray Bradbury,4.06,97
The Colour of Magic,1983,Terry Pratchett,4.00,122
Blink: The Power of Thinking Without Thinking,2004,Malcolm Gladwell,3.78,76
Smile,2010,Raina Telgemeier,4.65,71
The Twits,1967,Roald Dahl,3.92,49
The Fine Print,2021,Lauren Asher,4.12,25
La sombra del viento,2001,Carlos Ruiz Zafón,4.13,38
Stellaluna,1990,Janell Cannon,4.39,103
The Viscount Who Loved Me,2000,Julia Quinn,4.33,33
Black Ties and White Lies,2023,Kat Singleton,3.29,14
The birth dearth,1987,Ben J. Wattenberg,4.80,10
Breaking Dawn,2008,Stephenie Meyer,3.49,96
The Ugly Truth,2001,Jeff Kinney,4.16,73
The Crucible,1953,Arthur Miller,3.57,67
Flatland,1884,Edwin Abbott Abbott,3.87,93
ノルウェイの森,1987,村上春樹,3.87,97
Powerless,2023,Lauren Roberts,3.83,12
The coldest winter ever,1999,Sister Souljah,4.30,23
Ice breaker,2022,Hannah Grace,3.94,17
